Date;Open;High;Low;Close;Adj Close;Volume
2022-03-01;10.199999809265137;17.0;10.199999809265137;11.25;11.25;3900
2022-03-02;10.0;11.34000015258789;10.0;10.039999961853027;10.039999961853027;27500
2022-03-03;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;5500
2022-03-04;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-07;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-08;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-09;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-10;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-11;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-14;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-15;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-16;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-17;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-18;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-21;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-22;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-23;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-24;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-25;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-28;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-29;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-30;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-03-31;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-01;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-04;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-05;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-06;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-07;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-08;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-11;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-12;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-13;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-14;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-18;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-19;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-20;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-21;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-22;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-25;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-26;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-27;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-28;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-04-29;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-02;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-03;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-04;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-05;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-06;11.25;11.25;11.25;11.25;11.25;0
2022-05-09;11.25;11.25;11.25;11.25;11.25;0
2022-05-10;11.25;11.25;11.25;11.25;11.25;0
2022-05-11;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-12;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-13;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-16;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-17;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-18;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-19;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-20;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-23;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-24;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-25;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-26;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-27;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-05-31;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-01;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-02;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-03;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-06;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-07;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-08;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-09;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-10;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-13;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-14;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-15;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-16;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-17;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-21;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-22;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-23;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-24;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-27;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-28;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-29;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-06-30;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-01;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-05;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-06;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-07;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-08;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-11;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-12;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-13;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-14;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-15;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-18;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-19;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-20;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-21;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-22;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-25;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-26;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-27;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-28;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-07-29;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-01;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-02;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-03;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-04;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-05;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-08;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-09;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-10;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-11;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-12;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-15;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-16;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-17;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-18;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-19;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-22;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-23;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-24;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-25;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-26;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-29;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-30;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-08-31;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-01;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-02;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-06;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-07;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-08;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-09;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-12;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-13;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-14;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-15;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-16;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-19;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-20;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-21;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-22;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-23;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-26;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-27;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-28;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-29;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-09-30;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-03;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-04;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-05;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-06;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-07;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-10;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-11;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-12;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-13;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-14;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-17;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
2022-10-18;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;9.550000190734863;0
